rank,command_type,count,share_percent,groups_using,group_coverage_percent
1,SHOW_IMAGE,3269,21.836,15,100.0
2,SET_VARIABLE,1891,12.631,15,100.0
3,SE_PLAY,1095,7.314,15,100.0
4,SET_ELEMENT_STYLE,1084,7.241,15,100.0
5,SET_CLICKABLE,948,6.332,15,100.0
6,EMIT_SIGNAL,936,6.252,15,100.0
7,WAIT,898,5.998,15,100.0
8,IF_CONDITION,893,5.965,15,100.0
9,SHOW_TEXT,624,4.168,15,100.0
10,UPDATE_TEXT,562,3.754,15,100.0
11,BGM_PLAY,346,2.311,15,100.0
12,ANIMATE_IN,324,2.164,9,60.0
13,SCENE_REDIRECT,315,2.104,15,100.0
14,JUMP_TO,234,1.563,15,100.0
15,SET_SELECTABLE,217,1.449,4,26.667
16,SET_DRAGGABLE,206,1.376,3,20.0
17,SCRIPT,174,1.162,7,46.667
18,NEXT_LEVEL,162,1.082,15,100.0
19,ANIMATE_OUT,133,0.888,3,20.0
20,FLIP_CARD,125,0.835,1,6.667
21,CHANGE_SELECTED_STATE,116,0.775,1,6.667
22,BREAK,79,0.528,4,26.667
23,FIREWORK_BURST,76,0.508,2,13.333
24,CHECK_IN_AREA,76,0.508,3,20.0
25,MOVE_TO,70,0.468,3,20.0
26,LOOP,70,0.468,4,26.667
27,SHOW_CHOICES,48,0.321,5,33.333
