rank,command_type,count,share_percent,groups_using,group_coverage_percent
1,SET_VARIABLE,853,17.036,3,100.0
2,SHOW_IMAGE,495,9.886,2,66.667
3,EMIT_SIGNAL,452,9.027,2,66.667
4,SHOW_TEXT,427,8.528,2,66.667
5,IF_CONDITION,370,7.39,2,66.667
6,WAIT,304,6.071,2,66.667
7,UPDATE_TEXT,248,4.953,2,66.667
8,LOOP,219,4.374,2,66.667
9,SE_PLAY,195,3.895,2,66.667
10,NEXT_LEVEL,153,3.056,2,66.667
11,BGM_PLAY,142,2.836,2,66.667
12,SET_ELEMENT_STYLE,128,2.556,1,33.333
13,BREAK,124,2.477,1,33.333
14,BGM_STOP,112,2.237,2,66.667
15,MOVE_TO,108,2.157,1,33.333
16,SHOW_CHOICES,94,1.877,1,33.333
17,SCENE_REDIRECT,79,1.578,1,33.333
18,FIREWORK_BURST,75,1.498,1,33.333
19,SET_SELECTABLE,60,1.198,1,33.333
20,SET_DRAGGABLE,60,1.198,1,33.333
21,JUMP_TO,54,1.078,1,33.333
22,SET_CLICKABLE,45,0.899,1,33.333
23,ANIMATE_LOOP,35,0.699,1,33.333
24,ANIMATE_IN,35,0.699,1,33.333
25,CHECK_IN_AREA,35,0.699,1,33.333
26,ANIMATE_OUT,35,0.699,1,33.333
27,FLIP_CARD,35,0.699,1,33.333
28,CHANGE_SELECTED_STATE,35,0.699,1,33.333
