rank,command_type,count,share_percent,groups_using,group_coverage_percent
1,SET_VARIABLE,280,13.295,10,100.0
2,SHOW_IMAGE,243,11.538,10,100.0
3,IF_CONDITION,184,8.737,10,100.0
4,WAIT,165,7.835,10,100.0
5,SET_ELEMENT_STYLE,127,6.03,10,100.0
6,SHOW_TEXT,127,6.03,10,100.0
7,NEXT_LEVEL,122,5.793,10,100.0
8,LOOP,114,5.413,10,100.0
9,BREAK,109,5.176,10,100.0
10,MOVE_TO,106,5.033,10,100.0
11,BGM_PLAY,104,4.938,10,100.0
12,EMIT_SIGNAL,86,4.084,10,100.0
13,SCENE_REDIRECT,76,3.609,10,100.0
14,SE_PLAY,71,3.371,10,100.0
15,BGM_STOP,70,3.324,10,100.0
16,UPDATE_TEXT,68,3.229,10,100.0
17,JUMP_TO,54,2.564,10,100.0
